Temperature;Fe2O3;Fe3O4;FeO;Fe
672;0;80.09;0;0
674;0;80.09;0;0
677;0;80.09;0;0
679;0;80.09;0;0
681;0;80.09;0;0
683;0;80.09;0;0
685;0;80.09;0;0
687;0;80.09;0;0
688;0;80.09;0;0
689;0;80.09;0;0
691;0;80.09;0;0
693;0;80.09;0;0
694;0;80.09;0;0
696;0;80.09;0;0
697;0;80.09;0;0
699;0;80.09;0;0
701;0;80.09;0;0
702;0;80.09;0;0
703;0;79.87;0.22;0
704;0;79.87;0.22;0
705;0;79.62;0.47;0
707;0;79.26;0.83;0
709;0;79.26;0.83;0
710;0;78.76;1.33;0
712;0;78.76;1.33;0
713;0;78.17;1.92;0
714;0;77.56;2.53;0
716;0;77.56;2.53;0
717;0;76.83;3.26;0
720;0;76.83;3.26;0
723;0;76.02;4.07;0
725;0;76.02;4.07;0
727;0;75.11;4.98;0
730;0;75.11;4.98;0
732;0;74.05;6.04;0
735;0;74.05;6.04;0
737;0;73.01;7.08;0
739;0;73.01;7.08;0
741;0;72.01;8.08;0
742;0;72.01;8.08;0
743;0;70.96;9.13;0
744;0;69.88;10.21;0
746;0;68.78;11.31;0
749;0;67.72;12.37;0
751;0;67.72;12.37;0
752;0;66.68;13.41;0
753;0;65.64;14.45;0
755;0;64.63;15.46;0
758;0;64.63;15.46;0
759;0;63.62;16.47;0
760;0;62.66;17.43;0
762;0;62.66;17.43;0
763;0;61.67;18.42;0
765;0;60.69;19.4;0
767;0;60.69;19.4;0
768;0;59.71;20.38;0
769;0;58.77;21.32;0
771;0;58.77;21.32;0
772;0;57.85;22.24;0
773;0;57.85;22.24;0
774;0;56.87;23.22;0
777;0;56.87;23.22;0
779;0;55.87;24.22;0
782;0;55.87;24.22;0
784;0;54.96;25.13;0
786;0;54.05;26.04;0
789;0;54.05;26.04;0
791;0;53.17;26.92;0
794;0;52.32;27.77;0
796;0;51.44;28.65;0
798;0;50.59;29.5;0
799;0;49.75;30.34;0
800;0;48.92;31.17;0
801;0;48.11;31.98;0
803;0;47.33;32.76;0
805;0;46.55;33.54;0
806;0;45.74;34.35;0
808;0;44.97;35.12;0
809;0;44.21;35.88;0
810;0;43.45;36.64;0
812;0;42.68;37.41;0
813;0;41.95;38.14;0
814;0;41.14;38.95;0
815;0;40.37;39.72;0
817;0;39.64;40.45;0
818;0;38.91;41.18;0
819;0;38.16;41.93;0
820;0;37.4;42.69;0
821;0;36.66;43.43;0
823;0;35.99;44.1;0
824;0;35.31;44.78;0
825;0;34.55;45.54;0
826;0;33.87;46.22;0
828;0;33.22;46.87;0
829;0;32.54;47.55;0
830;0;31.83;48.26;0
831;0;31.16;48.93;0
834;0;30.49;49.6;0
836;0;29.86;50.23;0
839;0;29.23;50.86;0
842;0;28.63;51.46;0
845;0;28.03;52.06;0
847;0;27.42;52.67;0
850;0;26.81;53.28;0
852;0;26.2;53.89;0
854;0;25.58;54.51;0
855;0;24.95;55.14;0
856;0;24.34;55.75;0
858;0;23.75;56.34;0
859;0;23.17;56.92;0
860;0;22.6;57.49;0
861;0;22.06;58.03;0
862;0;21.49;58.6;0
864;0;20.9;59.19;0
865;0;20.35;59.74;0
866;0;19.84;60.25;0
868;0;19.31;60.78;0
869;0;18.73;61.36;0
870;0;18.24;61.85;0
871;0;17.17;62.92;0
874;0;16.64;63.45;0
875;0;16.11;63.98;0
876;0;15.64;64.45;0
878;0;15.18;64.91;0
879;0;14.7;65.39;0
880;0;14.24;65.85;0
881;0;13.81;66.28;0
882;0;13.4;66.69;0
883;0;12.99;67.1;0
885;0;12.58;67.51;0
886;0;12.15;67.94;0
887;0;11.74;68.35;0
890;0;11.32;68.77;0
893;0;10.92;69.17;0
895;0;10.56;69.53;0
898;0;10.17;69.92;0
901;0;9.82;70.27;0
904;0;9.47;70.62;0
907;0;9.11;70.79;0.19
910;0;8.75;71.15;0.19
911;0;8.39;71.33;0.37
913;0;8.01;71.71;0.37
914;0;7.66;71.76;0.67
915;0;7.3;72.12;0.67
917;0;6.99;72.03;1.07
918;0;6.68;72.34;1.07
919;0;6.38;72.15;1.56
920;0;6.09;72.44;1.56
922;0;5.77;72.19;2.13
923;0;5.48;72.48;2.13
925;0;5.21;72.05;2.83
926;0;4.94;72.32;2.83
927;0;4.68;71.92;3.49
929;0;4.37;72.23;3.49
930;0;4.11;71.76;4.22
931;0;3.85;72.02;4.22
933;0;3.64;71.43;5.02
934;0;3.43;71.64;5.02
935;0;3.2;71.02;5.87
937;0;2.97;71.25;5.87
938;0;2.75;70.52;6.82
939;0;2.55;70.72;6.82
940;0;2.35;69.95;7.79
942;0;2.16;70.14;7.79
943;0;1.98;69.43;8.68
945;0;1.81;69.6;8.68
948;0;1.64;68.83;9.62
951;0;1.49;68.98;9.62
953;0;1.34;68.17;10.58
956;0;1.19;68.32;10.58
959;0;1.06;67.48;11.55
962;0;0.93;67.61;11.55
965;0;0.79;66.81;12.49
967;0;0.68;66.92;12.49
968;0;0.58;66.07;13.44
970;0;0.47;66.18;13.44
971;0;0.39;65.28;14.42
972;0;0.32;65.35;14.42
974;0;0.24;64.38;15.47
975;0;0.18;64.44;15.47
976;0;0.12;63.54;16.43
978;0;0.07;63.59;16.43
979;0;0.04;62.63;17.42
980;0;0.03;62.64;17.42
981;0;0.02;61.68;18.39
983;0;0.02;61.68;18.39
984;0;0.01;60.67;19.41
986;0;0.01;60.67;19.41
987;0;0.01;59.68;20.4
989;0;0.01;59.68;20.4
990;0;0.01;58.75;21.33
991;0;0.01;57.81;22.27
994;0;0.01;57.81;22.27
995;0;0.01;56.91;23.17
997;0;0.01;56.91;23.17
998;0;0.01;55.96;24.12
999;0;0.01;55.96;24.12
1000;0;0.01;55.01;25.07
1003;0;0.01;55.01;25.07
1006;0;0.01;54.04;26.04
1009;0;0.01;53.09;26.99
1012;0;0.01;52.12;27.96
1016;0;0.01;51.13;28.95
1019;0;0.01;50.25;29.83
1022;0;0.01;49.38;30.7
1025;0;0.01;48.48;31.6
1028;0;0.01;47.61;32.47
1031;0;0.01;46.76;33.32
1034;0;0.01;46;34.08
1036;0;0.01;45.21;34.87
1037;0;0.01;44.42;35.66
1039;0;0.01;43.62;36.46
1040;0;0.01;42.82;37.26
1042;0;0.01;42.05;38.03
1043;0;0.01;41.25;38.83
1044;0;0.01;40.46;39.62
